,team_name,location,Anotaciones de Campo,Intentos de Anotaciones de Campo,Anotaciones de Triples,Intentos de Triples,Anotaciones Tiro Libre,Intentos Tiro Libre,Recuperaciones Ofensivas,Recuperaciones Defensivas,Recuperaciones Totales,Asistencias,Robos,Bloqueos,Perdida de Balon,Faltas Cometidas,Puntos,Diferencia de Puntos,Partidos Ganados,Promedio de Acierto,Promedio de Acierto Triples,Promedio de Acierto Tiros Libres,Partidos Jugados
0,Atlanta Hawks,away,36.531189083820664,82.39961013645224,7.605263157894737,21.776803118908383,17.59551656920078,23.005847953216374,10.682261208576998,30.840155945419102,41.5224171539961,21.03216374269006,7.611111111111111,4.8391812865497075,15.260233918128655,20.91812865497076,98.26315789473684,-5.1003898635477585,0.3401559454191033,0.4439590643274854,0.3451130604288499,0.7645,1026
1,Atlanta Hawks,home,38.105940594059405,82.99405940594059,7.869306930693069,22.034653465346533,18.545544554455446,24.016831683168316,10.976237623762376,31.814851485148516,42.79108910891089,23.253465346534654,7.593069306930693,4.767326732673268,14.537623762376237,20.751485148514853,102.62673267326733,1.310891089108911,0.5643564356435643,0.4598613861386138,0.35387029702970296,0.7727910891089109,1010
2,Boston Celtics,away,36.82592592592592,81.9037037037037,8.675,24.37037037037037,18.435185185185187,23.930555555555557,9.99537037037037,31.450925925925926,41.446296296296296,21.71851851851852,8.006481481481481,4.49537037037037,14.743518518518519,22.58888888888889,100.76203703703703,0.022222222222222223,0.48518518518518516,0.4506675925925926,0.3518175925925926,0.7718518518518519,1080
3,Boston Celtics,home,37.672811059907836,82.2294930875576,8.685714285714285,24.179723502304146,18.330875576036867,23.741935483870968,10.366820276497696,32.449769585253456,42.816589861751154,23.496774193548386,8.130875576036866,4.799078341013825,14.67926267281106,21.35299539170507,102.36221198156682,4.486635944700461,0.6331797235023041,0.45937972350230416,0.3573069124423963,0.7744488479262673,1085
4,Brooklyn Nets,away,39.12080536912752,85.65324384787472,10.83668903803132,30.23042505592841,17.88366890380313,23.203579418344518,9.568232662192393,33.16778523489933,42.73601789709172,23.024608501118568,7.190156599552573,4.6644295302013425,14.568232662192393,20.69351230425056,106.96196868008948,-3.1722595078299776,0.4004474272930649,0.4577986577181208,0.3549060402684564,0.7734541387024608,447
5,Brooklyn Nets,home,39.110619469026545,84.99115044247787,10.730088495575222,29.984513274336283,17.98008849557522,23.47787610619469,9.827433628318584,33.95132743362832,43.7787610619469,23.371681415929203,7.163716814159292,4.670353982300885,14.949115044247788,20.413716814159294,106.93141592920354,-0.10398230088495575,0.5066371681415929,0.46134292035398233,0.35526548672566377,0.7668960176991151,452
6,Charlotte Hornets,away,37.47791164658634,85.62248995983936,9.259036144578314,26.423694779116467,18.218875502008032,23.849397590361445,10.622489959839358,33.03815261044177,43.66064257028113,22.353413654618475,7.642570281124498,4.518072289156627,13.317269076305221,19.14859437751004,102.43373493975903,-2.8293172690763053,0.41365461847389556,0.4381224899598394,0.34661445783132533,0.7661024096385542,498
7,Charlotte Hornets,home,38.165983606557376,85.24590163934427,9.25,26.403688524590162,18.579918032786885,24.422131147540984,10.522540983606557,33.9344262295082,44.45696721311475,24.12704918032787,7.194672131147541,5.586065573770492,13.48360655737705,19.01844262295082,104.16188524590164,0.8790983606557377,0.5307377049180327,0.4486741803278689,0.3464631147540984,0.7598237704918033,488
8,Chicago Bulls,away,36.94248234106963,82.80423814328961,7.108980827447024,19.993945509586275,17.278506559031282,22.819374369323913,10.82744702320888,31.701311806256307,42.52875882946519,21.424823410696266,7.336024217961655,4.580221997981837,15.41473259334006,21.48335015136226,98.27245206861755,-3.744702320887992,0.38143289606458125,0.4469243188698284,0.3518254288597376,0.7574954591321897,991
9,Chicago Bulls,home,37.309126594700686,83.68792934249264,7.111874386653582,19.819430814524043,17.928361138370953,23.613346418056917,11.67909715407262,32.8900883218842,44.56918547595682,23.29440628066732,7.428851815505397,5.335623159960746,14.602551521099116,20.87046123650638,99.65848871442591,1.1668302257114818,0.5525024533856723,0.4465210991167812,0.3580107948969578,0.7607988223748774,1019
10,Cleveland Cavaliers,away,36.53497536945813,81.88669950738917,7.588177339901478,21.68374384236453,17.980295566502463,24.16551724137931,11.03743842364532,31.035467980295568,42.072906403940884,20.353694581280788,7.1960591133004925,4.119211822660098,14.707389162561576,20.976354679802956,98.6384236453202,-3.800985221674877,0.39113300492610836,0.4467133004926108,0.3417152709359606,0.744448275862069,1015
11,Cleveland Cavaliers,home,37.580057526366254,82.35953978906998,7.967401725790988,21.80345158197507,18.40556088207095,24.543624161073826,11.545541706615532,32.332694151486095,43.87823585810163,23.178331735378716,7.194630872483222,5.103547459252157,14.581016299137104,20.06999041227229,101.53307766059444,2.511025886864813,0.5953978906999041,0.45723298178331734,0.35902492809204223,0.7506644295302013,1043
12,Dallas Mavericks,away,37.70288461538462,83.3125,8.944230769230769,24.985576923076923,17.466346153846153,22.202884615384615,9.90576923076923,31.441346153846155,41.347115384615385,21.592307692307692,7.142307692307693,4.4875,13.111538461538462,20.950961538461538,101.81634615384615,-0.29423076923076924,0.5048076923076923,0.4533105769230769,0.3579269230769231,0.7871673076923077,1040
13,Dallas Mavericks,home,38.49323017408124,83.3926499032882,8.900386847195358,24.463249516441007,19.1605415860735,24.379110251450676,10.882978723404255,32.509671179883945,43.3926499032882,22.166344294003867,7.3936170212765955,4.965183752417795,13.053191489361701,20.549323017408124,105.04738878143134,5.051257253384913,0.6644100580270793,0.4625386847195358,0.365825918762089,0.7853965183752418,1034
14,Denver Nuggets,away,38.09779482262704,83.92042186001918,7.659635666347076,21.94439117929051,18.456375838926174,24.436241610738254,11.491850431447746,31.099712368168746,42.59156279961649,22.142857142857142,8.00575263662512,4.542665388302972,15.311601150527325,21.75934803451582,102.31160115052732,-3.2042186001917545,0.4046021093000959,0.454712368168744,0.34169990412272294,0.7563365292425696,1043
15,Denver Nuggets,home,39.36904761904762,84.72817460317461,8.043650793650794,22.496031746031747,20.150793650793652,26.854166666666668,11.618055555555555,32.98511904761905,44.6031746031746,25.60218253968254,7.820436507936508,5.745039682539683,14.495039682539682,21.66468253968254,106.93253968253968,4.650793650793651,0.6488095238095238,0.4653690476190476,0.34998710317460313,0.7511646825396825,1008
16,Detroit Pistons,away,36.112326043737575,82.37773359840955,7.243538767395626,20.880715705765407,17.37872763419483,23.475149105367795,11.501988071570576,30.210735586481114,41.71272365805169,20.52783300198807,7.443339960238569,4.584493041749503,13.939363817097416,20.95228628230616,96.8469184890656,-2.9840954274353875,0.39065606361829025,0.43919383697813125,0.3458081510934393,0.739979125248509,1006
17,Detroit Pistons,home,37.02541544477028,82.17399804496578,7.3049853372434015,20.758553274682306,18.301075268817204,24.701857282502445,11.689149560117302,31.330400782013687,43.01955034213099,22.271749755620725,7.244379276637341,5.285434995112414,13.818181818181818,20.682306940371458,99.65689149560117,2.439882697947214,0.570869990224829,0.45160019550342134,0.3489863147605083,0.741902248289345,1023
18,Golden State Warriors,away,38.829338446788114,85.98178331735379,9.303930968360499,25.573346116970278,17.661553211888783,23.313518696069032,10.95397890699904,31.758389261744966,42.71236816874401,23.15723873441994,8.271332694151486,5.176414189837009,15.158197507190796,22.302972195589646,104.6241610738255,-2.534995206136146,0.4161073825503356,0.45229242569511025,0.35565196548418027,0.758241610738255,1043
19,Golden State Warriors,home,40.39461020211742,86.22714148219441,9.610202117420597,25.640038498556304,18.28585178055823,24.10875842155919,11.789220404234841,32.9172281039461,44.70644850818094,25.895091434071222,8.431183830606352,5.584215591915303,14.95572666025024,21.51106833493744,108.68527430221367,5.0731472569778635,0.6361886429258903,0.46957170356111644,0.3660981713185755,0.7607574590952839,1039
20,Houston Rockets,away,36.738188976377955,82.28740157480316,9.636811023622048,27.287401574803148,18.71751968503937,24.677165354330707,10.82283464566929,31.562007874015748,42.38484251968504,20.742125984251967,7.594488188976378,4.543307086614173,15.321850393700787,21.294291338582678,101.83070866141732,-1.6161417322834646,0.45570866141732286,0.44711515748031494,0.3528326771653543,0.7622017716535433,1016
21,Houston Rockets,home,37.42048780487805,83.05073170731707,9.743414634146342,27.818536585365855,18.926829268292682,25.274146341463414,11.239024390243902,32.837073170731706,44.07609756097561,21.745365853658537,7.76780487804878,5.017560975609756,14.749268292682927,20.33170731707317,103.51121951219513,3.9921951219512195,0.6195121951219512,0.4513687804878049,0.34824682926829265,0.7498712195121952,1025
22,Indiana Pacers,away,36.6298828125,82.28125,7.7705078125,21.966796875,18.234375,23.6435546875,10.2724609375,31.4521484375,41.724609375,21.517578125,7.65625,4.7119140625,15.1025390625,22.1533203125,99.2646484375,-2.8505859375,0.404296875,0.445587890625,0.3504482421875,0.7718671875,1024
23,Indiana Pacers,home,37.794871794871796,83.17948717948718,7.8609467455621305,21.85207100591716,18.89644970414201,24.437869822485208,10.988165680473372,32.97435897435897,43.96252465483235,22.523668639053255,7.699211045364891,5.734714003944773,14.258382642998027,21.1232741617357,102.34714003944774,3.851084812623274,0.6252465483234714,0.4548313609467456,0.3581854043392505,0.7721854043392504,1014
24,Los Angeles Clippers,away,35.98299845440494,80.6259659969088,5.783616692426584,16.432766615146832,18.64451313755796,25.001545595054097,11.391035548686244,30.25502318392581,41.646058732612055,20.248840803709427,7.2086553323029365,4.916537867078826,15.030911901081916,21.98145285935085,96.39412673879444,-4.655332302936631,0.3369397217928903,0.44739258114374036,0.34705718701700156,0.7430216383307574,647
25,Los Angeles Clippers,home,36.43098159509202,79.81134969325153,5.461656441717792,16.015337423312882,19.733128834355828,26.664110429447852,11.236196319018404,30.82515337423313,42.061349693251536,22.70398773006135,7.3496932515337425,5.95398773006135,15.118098159509202,21.50153374233129,98.05674846625767,0.7883435582822086,0.5368098159509203,0.45768711656441713,0.3360398773006135,0.7387055214723927,652
26,Los Angeles Lakers,away,38.18351324828263,84.07850834151128,7.872423945044161,22.55937193326791,18.276741903827283,24.71736997055937,11.131501472031402,31.937193326790972,43.06869479882238,21.60549558390579,7.361138370951914,4.730127576054956,14.286555446516193,21.144259077526986,102.5161923454367,-2.211972522080471,0.46123650637880276,0.4547507360157017,0.34758390578999016,0.7398017664376839,1019
27,Los Angeles Lakers,home,38.82727272727273,84.09272727272727,7.637272727272728,22.14818181818182,19.37272727272727,26.173636363636362,11.51,33.18181818181818,44.691818181818185,23.79909090909091,7.703636363636364,5.463636363636364,14.632727272727273,21.087272727272726,104.66727272727273,3.650909090909091,0.6227272727272727,0.4623918181818182,0.34299636363636365,0.7416145454545454,1100
28,Memphis Grizzlies,away,37.18557794273595,83.08695652173913,6.88865323435843,20.059384941675503,17.77306468716861,23.831389183457052,11.033934252386002,30.59597030752916,41.62990455991516,21.53234358430541,8.266171792152704,4.792152704135737,14.778366914103923,21.522799575821846,99.03287380699894,-3.6733828207847297,0.3796394485683987,0.44825450689289503,0.338694591728526,0.7473881230116649,943
29,Memphis Grizzlies,home,38.09013785790032,83.07423117709438,7.251325556733828,20.683987274655355,18.63202545068929,24.858960763520678,11.486744432661718,31.704135737009544,43.19088016967126,21.99893955461294,8.232237539766702,5.647932131495228,14.351007423117709,20.741251325556735,102.06362672322375,2.493107104984093,0.5874867444326617,0.45904984093319195,0.3461855779427359,0.752031813361612,943
30,Miami Heat,away,36.02071563088512,80.26647834274952,7.939736346516008,22.494350282485875,16.96045197740113,22.826741996233523,9.872881355932204,31.483050847457626,41.355932203389834,21.620527306967986,7.328625235404896,4.696798493408663,14.516007532956685,21.483050847457626,96.94161958568738,-1.7306967984934087,0.4510357815442561,0.44960075329566856,0.35143596986817327,0.7457721280602636,1062
31,Miami Heat,home,37.22109158186864,79.85476410730804,7.867715078630897,21.96854764107308,18.25069380203515,24.359851988899166,9.882516188714154,31.790934320074005,41.67345050878816,20.870490286771506,7.550416281221092,4.989824236817761,14.000925069380203,20.488436632747455,100.56059204440334,3.892691951896392,0.6364477335800185,0.4671406105457909,0.35434505087881596,0.750218316373728,1081
32,Milwaukee Bucks,away,37.865497076023395,84.00779727095517,7.991228070175438,22.657894736842106,17.304093567251464,22.906432748538013,10.701754385964913,31.77777777777778,42.47953216374269,21.75438596491228,7.5623781676413255,4.60233918128655,14.539961013645224,21.696881091617932,101.02631578947368,-2.711500974658869,0.39473684210526316,0.45110916179337235,0.35041812865497074,0.7546500974658868,1026
33,Milwaukee Bucks,home,38.718074656188605,83.62082514734774,8.351669941060903,22.692534381139488,18.18074656188605,23.92043222003929,11.106090373280942,32.345776031434184,43.451866404715126,23.73575638506876,7.50294695481336,4.742632612966601,14.231827111984282,20.917485265225935,103.96856581532417,2.8359528487229864,0.593320235756385,0.4635952848722986,0.3677662082514735,0.7585284872298625,1018
34,Minnesota Timberwolves,away,38.14795918367347,84.31020408163265,7.029591836734694,19.85408163265306,18.262244897959185,23.425510204081633,11.33469387755102,30.864285714285714,42.19897959183673,22.129591836734694,7.648979591836735,4.659183673469387,14.787755102040816,21.540816326530614,101.58775510204082,-3.845918367346939,0.36428571428571427,0.4531295918367347,0.3519418367346939,0.7805377551020408,980
35,Minnesota Timberwolves,home,38.49129989764585,84.08597748208803,6.926305015353122,19.796315250767655,18.817809621289662,24.452405322415558,11.183213920163766,32.09825997952917,43.28147389969294,23.790174002047085,7.5496417604912995,5.013306038894576,14.297850562947799,21.02558853633572,102.7267144319345,0.9416581371545547,0.5148413510747185,0.458935516888434,0.3517072671443193,0.7692446264073696,977
36,New Orleans Pelicans,away,39.88505747126437,87.21379310344828,9.491954022988505,26.880459770114943,17.404597701149424,22.977011494252874,10.473563218390805,33.67816091954023,44.15172413793103,23.567816091954022,7.719540229885057,4.657471264367816,14.67816091954023,20.588505747126437,106.66666666666667,-3.2275862068965515,0.3793103448275862,0.4582229885057471,0.3540367816091954,0.7559586206896551,435
37,New Orleans Pelicans,home,41.01639344262295,87.23185011709602,9.779859484777518,27.26463700234192,18.22248243559719,23.707259953161593,10.646370023419204,34.26229508196721,44.90866510538642,25.166276346604217,7.826697892271663,5.5456674473067915,14.049180327868852,19.83606557377049,110.03512880562062,1.6088992974238876,0.5362997658079626,0.47130913348946135,0.3597634660421546,0.7707025761124121,427
38,New York Knicks,away,36.5594262295082,83.05430327868852,7.909836065573771,22.46106557377049,17.475409836065573,22.854508196721312,10.906762295081966,31.16188524590164,42.068647540983605,20.74795081967213,7.161885245901639,4.345286885245901,14.679303278688524,22.137295081967213,98.50409836065573,-4.702868852459017,0.33709016393442626,0.44111168032786885,0.3528627049180328,0.7662131147540984,976
39,New York Knicks,home,37.45333333333333,82.87179487179488,7.97025641025641,22.504615384615384,18.097435897435897,23.625641025641027,11.26871794871795,31.77948717948718,43.048205128205126,20.57846153846154,7.147692307692307,4.105641025641026,14.528205128205128,21.61846153846154,100.97435897435898,-0.048205128205128206,0.49435897435897436,0.45292307692307693,0.352265641025641,0.7704523076923078,975
40,Oklahoma City Thunder,away,38.28173374613003,85.92724458204334,8.58204334365325,25.506191950464395,19.3343653250774,24.871517027863778,11.530959752321982,33.31578947368421,44.84674922600619,20.625386996904023,7.803405572755418,5.260061919504644,14.806501547987617,21.65015479876161,104.4814241486068,-1.934984520123839,0.4582043343653251,0.44663312693498447,0.3358606811145511,0.7744597523219814,646
41,Oklahoma City Thunder,home,39.5099846390169,84.93241167434716,8.820276497695852,25.026113671274963,19.565284178187405,25.322580645161292,11.30568356374808,33.79723502304147,45.102918586789556,21.847926267281107,8.013824884792626,5.612903225806452,15.001536098310291,20.574500768049155,107.40552995391705,3.923195084485407,0.6221198156682027,0.4664162826420891,0.3539078341013825,0.7695729646697389,651
42,Orlando Magic,away,36.58565737051793,82.32470119521912,8.2101593625498,23.20617529880478,17.34760956175299,23.526892430278885,10.395418326693227,31.64541832669323,42.04083665338646,20.957171314741036,7.192231075697211,4.654382470119522,14.50996015936255,21.23207171314741,98.72908366533865,-3.6752988047808763,0.37749003984063745,0.4456284860557769,0.35581175298804785,0.740316733067729,1004
43,Orlando Magic,home,37.79601990049751,82.56616915422886,8.136318407960198,22.81691542288557,18.256716417910447,24.6318407960199,10.843781094527364,32.49950248756219,43.343283582089555,21.37313432835821,7.412935323383085,4.964179104477612,14.791044776119403,20.737313432835823,101.98507462686567,2.100497512437811,0.5552238805970149,0.4592477611940298,0.3561243781094527,0.7444407960199005,1005
44,Philadelphia 76ers,away,36.8447265625,82.513671875,6.8203125,19.7890625,18.4892578125,24.6005859375,11.072265625,31.263671875,42.3359375,21.033203125,8.2939453125,4.8740234375,15.2119140625,21.2802734375,98.9990234375,-3.0380859375,0.4130859375,0.4473798828125,0.3368701171875,0.7500791015625,1024
45,Philadelphia 76ers,home,37.628795298726736,82.62977473065622,7.048971596474045,20.04505386875612,19.242899118511264,25.36141038197845,11.307541625857002,32.06562193927522,43.373163565132224,23.192948090107738,8.504407443682664,4.907933398628796,14.796278158667972,20.78158667972576,101.54946131243878,2.018609206660137,0.5602350636630754,0.45598824681684624,0.3438707149853085,0.7592458374142997,1021
46,Phoenix Suns,away,39.12103174603175,85.02380952380952,8.282738095238095,23.268849206349206,17.47519841269841,22.768849206349206,10.62797619047619,31.441468253968253,42.06944444444444,23.29563492063492,7.8353174603174605,4.5813492063492065,15.060515873015873,21.952380952380953,104.0,-1.9246031746031746,0.4623015873015873,0.46130952380952384,0.3529781746031746,0.7684107142857143,1008
47,Phoenix Suns,home,39.999014778325126,85.00985221674877,8.676847290640394,23.400985221674876,18.15566502463054,23.47192118226601,10.895566502463055,32.460098522167485,43.35566502463054,23.364532019704434,7.518226600985222,5.200985221674877,14.593103448275862,21.15369458128079,106.83054187192118,3.754679802955665,0.6029556650246305,0.4714206896551724,0.36650935960591136,0.7741211822660098,1015
48,Portland Trail Blazers,away,36.79009900990099,82.54257425742574,7.966336633663366,22.42079207920792,17.5009900990099,22.776237623762377,11.167326732673267,30.982178217821783,42.14950495049505,20.346534653465348,7.0069306930693065,4.889108910891089,14.448514851485148,21.289108910891088,99.04752475247524,-3.3158415841584157,0.41188118811881186,0.44684356435643563,0.35133465346534654,0.7697396039603961,1010
49,Portland Trail Blazers,home,38.296407185628745,82.99900199600799,8.472055888223553,22.974051896207584,18.435129740518963,23.67365269461078,11.540918163672655,31.517964071856287,43.05888223552894,22.32634730538922,7.1946107784431135,4.8213572854291415,13.905189620758483,20.144710578842314,103.5,3.313373253493014,0.6157684630738522,0.4626926147704591,0.36454391217564874,0.7773522954091817,1002
50,Sacramento Kings,away,38.116514690982775,84.71732522796353,7.562310030395137,21.444782168186425,18.411347517730498,24.24214792299899,10.852077001013171,31.375886524822697,42.22796352583587,22.423505572441744,8.128672745694022,4.173252279635259,14.842958459979737,21.24214792299899,102.20668693009118,-3.9959473150962515,0.3768996960486322,0.45072948328267476,0.3516393110435663,0.7572259371833839,987
51,Sacramento Kings,home,39.240286298568506,84.38139059304703,7.945807770961145,21.732106339468302,19.493865030674847,25.50204498977505,11.01124744376278,32.04294478527607,43.054192229038854,22.531697341513294,7.9079754601226995,4.406952965235174,14.789366053169735,20.66871165644172,105.920245398773,2.0173824130879345,0.549079754601227,0.46602249488752556,0.363381390593047,0.7647648261758692,978
52,San Antonio Spurs,away,37.51594746716698,82.406191369606,7.396810506566604,20.648217636022515,17.436210131332082,23.066604127579737,10.470919324577862,32.18292682926829,42.65384615384615,21.814258911819888,7.154784240150094,4.917448405253284,13.666041275797374,19.82082551594747,99.86491557223265,1.1332082551594747,0.5393996247654784,0.45623921200750467,0.36003564727954973,0.7570103189493433,1066
53,San Antonio Spurs,home,38.82544103992572,81.6100278551532,7.991643454038997,20.85979572887651,17.68430826369545,23.584029712163417,10.186629526462395,33.283194057567314,43.46982358402971,23.56917363045497,7.3528319405756735,5.698235840297122,13.706592386258125,18.901578458681524,103.32683379758589,7.340761374187558,0.7270194986072424,0.4763528319405757,0.3842729805013928,0.752853296193129,1077
54,Toronto Raptors,away,37.06818181818182,83.1501976284585,8.059288537549406,22.691699604743082,18.043478260869566,23.372529644268774,10.578063241106719,30.620553359683793,41.198616600790515,21.220355731225297,7.626482213438735,4.484189723320158,13.75889328063241,21.986166007905137,100.23913043478261,-1.965415019762846,0.4318181818181818,0.446755928853755,0.3527094861660079,0.771494071146245,1012
55,Toronto Raptors,home,38.234375,83.7001953125,8.2197265625,22.7099609375,18.6328125,23.8603515625,11.0927734375,31.48046875,42.5732421875,22.3349609375,7.7333984375,5.142578125,13.455078125,21.30859375,103.3212890625,3.3916015625,0.595703125,0.4577578125,0.3595361328125,0.781509765625,1024
56,Utah Jazz,away,36.92120622568093,81.12062256809338,6.946498054474708,19.770428015564203,19.08852140077821,25.326848249027236,11.630350194552529,30.50875486381323,42.13910505836576,23.049610894941633,7.64591439688716,4.81420233463035,15.611867704280156,22.788910505836576,99.87743190661479,-1.8832684824902723,0.4367704280155642,0.4559533073929961,0.3397344357976654,0.7547743190661479,1028
57,Utah Jazz,home,37.72927072927073,80.35764235764236,7.515484515484515,20.584415584415584,20.094905094905094,26.721278721278722,11.28071928071928,32.386613386613384,43.667332667332666,23.08891108891109,7.557442557442558,5.581418581418581,14.839160839160838,22.046953046953046,103.06893106893106,5.5294705294705295,0.6563436563436563,0.4705274725274725,0.36343956043956044,0.7538801198801199,1001
58,Washington Wizards,away,37.26884920634921,83.67361111111111,7.020833333333333,20.26388888888889,18.084325396825395,24.178571428571427,11.188492063492063,30.601190476190474,41.78968253968254,21.171626984126984,7.636904761904762,4.501984126984127,14.693452380952381,21.75297619047619,99.64285714285714,-5.134920634920635,0.3402777777777778,0.44579960317460315,0.34377380952380954,0.7501597222222222,1008
59,Washington Wizards,home,38.55987717502559,83.76560900716478,7.17093142272262,20.16376663254862,19.16376663254862,25.073694984646878,11.359263050153531,31.399181166837256,42.75844421699079,22.468781985670418,7.938587512794268,4.932446264073695,14.473899692937565,21.120777891504606,103.45445240532241,1.0122824974411464,0.5199590583418628,0.4609027635619243,0.35057215967246674,0.7638075742067554,977
