,player_id,player_name,birthdate,school,country,last_affiliation,season_exp,jersey,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,round_pick,draft_number,greatest_75_flag,is_active
0,203919,Jordan Adams,1994-07-08,UCLA,USA,UCLA/USA,3.0,3,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014.0,2015.0,Y,Y,Y,1,22,N,0
1,203500,Steven Adams,1993-07-20,Pittsburgh,New Zealand,Pittsburgh/New Zealand,10.0,4,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,steven_adams,2013.0,2023.0,N,Y,Y,1,12,N,1
2,1628959,Rawle Alkins,1997-10-29,Arizona,USA,Arizona/USA,2.0,20,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,rawle_alkins,2018.0,2018.0,Y,Y,Y,Undrafted,Undrafted,N,0
3,1628443,Kadeem Allen,1993-01-15,Arizona,USA,Arizona/USA,3.0,0,Inactive,N,0,0,0,0,0,kadeem_allen,2017.0,2019.0,Y,Y,Y,2,53,N,0
4,1626147,Justin Anderson,1993-11-19,Virginia,USA,Virginia/USA,7.0,0,Inactive,N,0,0,0,0,0,justin_anderson,2015.0,2021.0,Y,Y,Y,1,21,N,0
5,1628961,Kostas Antetokounmpo,1997-11-20,University of Dayton,Greece,Dayton/Greece,4.0,37,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,kostas_antetokounmpo,2018.0,2020.0,Y,Y,Y,2,60,N,1
6,203648,Thanasis Antetokounmpo,1992-07-18,Panathinaikos,Greece,Panathinaikos/Greece,5.0,43,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,thanasis_antetokounmpo,2015.0,2023.0,Y,Y,Y,2,51,N,1
7,1628503,Jamel Artis,1993-01-12,Pittsburgh,USA,Pittsburgh/USA,2.0,0,Inactive,N,1610612753,Magic,ORL,magic,Orlando,jamel_artis,2017.0,2017.0,Y,Y,Y,Undrafted,Undrafted,N,0
8,1629646,Charles Bassey,2000-10-28,Western Kentucky,Nigeria,Western Kentucky/Nigeria,2.0,28,Active,N,1610612759,Spurs,SAS,spurs,San Antonio,charles_bassey,2021.0,2023.0,Y,Y,Y,2,53,N,1
9,1629647,Darius Bazley,2000-06-12,Princeton HS (OH),USA,Princeton HS (OH)/USA,4.0,55,Active,N,1610612756,Suns,PHX,suns,Phoenix,darius_bazley,2019.0,2023.0,N,Y,Y,1,23,N,1
10,1628395,Jordan Bell,1995-01-07,Oregon,USA,Oregon/USA,5.0,0,Inactive,N,0,0,0,0,0,jordan_bell,2017.0,2021.0,Y,Y,Y,2,38,N,0
11,203920,Khem Birch,1992-09-28,UNLV,Canada,UNLV/Canada,6.0,24,Active,N,1610612759,Spurs,SAS,spurs,San Antonio,khem_birch,2017.0,2023.0,Y,Y,Y,Undrafted,Undrafted,N,1
12,1628417,Jaron Blossomgame,1993-09-16,Clemson,USA,Clemson/USA,2.0,4,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jaron_blossomgame,2018.0,2018.0,Y,Y,Y,2,59,N,0
13,203505,Vander Blue,1992-07-17,Marquette,USA,Marquette/USA,3.0,0,Inactive,N,0,0,0,0,0,vander_blue,2013.0,2017.0,Y,Y,Y,Undrafted,Undrafted,N,0
14,1629648,Jordan Bone,1997-11-05,Tennessee,USA,Tennessee/USA,2.0,0,Inactive,N,0,0,0,0,0,jordan_bone,2019.0,2020.0,Y,Y,Y,2,57,N,0
15,1628968,Brian Bowen II,1998-10-02,0,USA,Sydney Kings/USA,3.0,0,Inactive,N,0,0,0,0,0,brian_bowen_ii,2019.0,2020.0,Y,Y,Y,Undrafted,Undrafted,N,0
16,1629065,Ky Bowman,1997-06-16,Boston College,USA,Boston College/USA,2.0,12,Inactive,N,1610612744,Warriors,GSW,warriors,Golden State,ky_bowman,2019.0,2019.0,Y,Y,Y,Undrafted,Undrafted,N,0
17,1628396,Tony Bradley,1998-01-08,North Carolina,USA,North Carolina/USA,6.0,0,Inactive,N,0,0,0,0,0,tony_bradley,2017.0,2022.0,Y,Y,Y,1,28,N,1
18,1629649,Ignas Brazdeikis,1999-01-08,Michigan,Canada,Michigan/Canada,4.0,17,Inactive,N,1610612753,Magic,ORL,magic,Orlando,ignas_brazdeikis,2019.0,2021.0,Y,Y,Y,2,47,N,0
19,1628515,Isaiah Briscoe,1996-04-13,Kentucky,USA,Kentucky/USA,1.0,0,Inactive,N,0,0,0,0,0,isaiah_briscoe,2018.0,2018.0,Y,Y,Y,Undrafted,Undrafted,N,0
20,1629052,Oshae Brissett,1998-06-20,Syracuse,Canada,Syracuse/Canada,4.0,12,Active,N,1610612754,Pacers,IND,pacers,Indiana,oshae_brissett,2019.0,2023.0,Y,Y,Y,Undrafted,Undrafted,N,1
21,1628415,Dillon Brooks,1996-01-22,Oregon,Canada,Oregon/Canada,6.0,24,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,dillon_brooks,2017.0,2023.0,N,Y,Y,2,45,N,1
22,1626148,Anthony Brown,1992-10-10,Stanford,USA,Stanford/USA,4.0,3,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,anthony_brown,2015.0,2017.0,Y,Y,Y,2,34,N,0
23,203913,Jabari Brown,1992-12-18,Missouri,USA,Missouri/USA,2.0,15,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,jabari_brown,2014.0,2014.0,Y,Y,Y,0,0,N,0
24,203485,Lorenzo Brown,1990-08-26,North Carolina State,USA,North Carolina State/USA,5.0,0,Inactive,N,0,0,0,0,0,lorenzo_brown,2013.0,2018.0,Y,Y,Y,2,52,N,0
25,203900,Markel Brown,1992-01-29,Oklahoma State,USA,Oklahoma State/USA,4.0,26,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,markel_brown,2014.0,2017.0,Y,Y,Y,2,44,N,0
26,203493,Reggie Bullock,1991-03-16,North Carolina,USA,North Carolina/USA,10.0,25,Active,N,1610612742,Mavericks,DAL,mavericks,Dallas,reggie_bullock,2013.0,2023.0,Y,Y,Y,1,25,N,1
27,203484,Kentavious Caldwell-Pope,1993-02-18,Georgia,USA,Georgia/USA,10.0,5,Active,N,1610612743,Nuggets,DEN,nuggets,Denver,kentavious_caldwell-pope,2013.0,2023.0,N,Y,Y,1,8,N,1
28,203477,Isaiah Canaan,1991-05-21,Murray State,USA,Murray State/USA,6.0,0,Inactive,N,0,0,0,0,0,isaiah_canaan,2013.0,2018.0,Y,Y,Y,2,34,N,0
29,1628975,Jevon Carter,1995-09-14,West Virginia,USA,West Virginia/USA,5.0,5,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,jevon_carter,2018.0,2023.0,Y,Y,Y,2,32,N,1
30,1626176,Rakeem Christmas,1991-12-01,Syracuse,USA,Syracuse/USA,3.0,25,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,rakeem_christmas,2015.0,2016.0,Y,Y,Y,2,36,N,0
31,203902,Semaj Christon,1992-11-01,Xavier,USA,Xavier/USA,2.0,6,Inactive,N,1610612760,Thunder,OKC,thunder,Oklahoma City,semaj_christon,2016.0,2016.0,Y,Y,Y,2,55,N,0
32,1629634,Brandon Clarke,1996-09-19,Gonzaga,Canada,Gonzaga/Canada,4.0,15,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,brandon_clarke,2019.0,2023.0,N,Y,Y,1,21,N,1
33,203903,Jordan Clarkson,1992-06-07,Missouri,USA,Missouri/USA,9.0,00,Active,N,1610612762,Jazz,UTA,jazz,Utah,jordan_clarkson,2014.0,2023.0,Y,Y,Y,2,46,N,1
34,1629651,Nic Claxton,1999-04-17,Georgia,USA,Georgia/USA,4.0,33,Active,N,1610612751,Nets,BKN,nets,Brooklyn,nicolas_claxton,2019.0,2023.0,Y,Y,Y,2,31,N,1
35,1628381,John Collins,1997-09-23,Wake Forest,USA,Wake Forest/USA,6.0,20,Active,N,1610612737,Hawks,ATL,hawks,Atlanta,john_collins,2017.0,2023.0,N,Y,Y,1,19,N,1
36,1626192,Pat Connaughton,1993-01-06,Notre Dame,USA,Notre Dame/USA,8.0,24,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,pat_connaughton,2015.0,2023.0,N,Y,Y,2,41,N,1
37,1626188,Quinn Cook,1993-03-23,Duke,USA,Duke/USA,6.0,0,Inactive,N,0,0,0,0,0,quinn_cook,2016.0,2020.0,Y,Y,Y,Undrafted,Undrafted,N,1
38,203496,Robert Covington,1990-12-14,Tennessee State,USA,Tennessee State/USA,10.0,23,Active,N,1610612746,Clippers,LAC,clippers,LA,robert_covington,2013.0,2023.0,Y,Y,Y,Undrafted,Undrafted,N,1
39,203459,Allen Crabbe,1992-04-09,California,USA,California/USA,7.0,0,Inactive,N,0,0,0,0,0,allen_crabbe,2013.0,2019.0,Y,Y,Y,2,31,N,0
40,203561,Brandon Davies,1991-07-25,Brigham Young,USA,Brigham Young/USA,2.0,0,Inactive,N,0,0,0,0,0,brandon_davies,2013.0,2014.0,N,Y,Y,Undrafted,Undrafted,N,0
41,1629056,Terence Davis,1997-05-16,Mississippi,USA,Mississippi/USA,4.0,3,Active,N,1610612758,Kings,SAC,kings,Sacramento,terence_davis,2019.0,2023.0,N,Y,Y,Undrafted,Undrafted,N,1
42,203473,Dewayne Dedmon,1989-08-12,Southern California,USA,Southern California/USA,10.0,14,Active,N,1610612755,76ers,PHI,sixers,Philadelphia,dewayne_dedmon,2013.0,2023.0,Y,Y,Y,Undrafted,Undrafted,N,1
43,1628978,Donte DiVincenzo,1997-01-31,Villanova,USA,Villanova/USA,5.0,0,Active,N,1610612744,Warriors,GSW,warriors,Golden State,donte_divincenzo,2018.0,2023.0,Y,Y,Y,1,17,N,1
44,1628416,Tyler Dorsey,1996-02-18,Oregon,USA,Oregon/USA,3.0,0,Inactive,N,0,0,0,0,0,tyler_dorsey,2017.0,2022.0,Y,Y,Y,2,41,N,1
45,1628422,Damyean Dotson,1994-05-06,Houston,USA,Houston/USA,5.0,0,Inactive,N,0,0,0,0,0,damyean_dotson,2017.0,2021.0,Y,Y,Y,2,44,N,0
46,1629653,Devon Dotson,1999-08-02,Kansas,USA,Kansas/USA,3.0,0,Inactive,N,0,0,0,0,0,devon_dotson,2020.0,2022.0,Y,Y,Y,Undrafted,Undrafted,N,1
47,1628408,PJ Dozier,1996-10-25,South Carolina,USA,South Carolina/USA,6.0,35,Active,N,1610612758,Kings,SAC,kings,Sacramento,pj_dozier,2017.0,2023.0,Y,Y,Y,Undrafted,Undrafted,N,1
48,203921,Cleanthony Early,1991-04-17,Wichita State,USA,Wichita State/USA,3.0,11,Inactive,N,1610612752,Knicks,NYK,knicks,New York,cleanthony_early,2014.0,2015.0,Y,Y,Y,2,34,N,0
49,1629035,Carsen Edwards,1998-03-12,Purdue,USA,Purdue/USA,4.0,4,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,carsen_edwards,2019.0,2021.0,Y,Y,Y,2,33,N,0
50,203516,James Ennis III,1990-07-01,Cal State-Long Beach,USA,California State-Long Beach/USA,8.0,0,Inactive,N,0,0,0,0,0,james_ennis_iii,2014.0,2021.0,Y,Y,Y,2,50,N,0
51,1629605,Tacko Fall,1995-12-10,UCF,Senegal,Central Florida/Senegal,3.0,0,Inactive,N,0,0,0,0,0,tacko_fall,2019.0,2021.0,Y,Y,Y,Undrafted,Undrafted,N,0
52,203467,Carrick Felix,1990-08-17,Arizona State,USA,Arizona State/USA,2.0,30,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,carrick_felix,2013.0,2013.0,Y,Y,Y,2,33,N,0
53,1628981,Bruno Fernando,1998-08-15,Maryland,Angola,Maryland/Angola,4.0,0,Active,N,1610612737,Hawks,ATL,hawks,Atlanta,bruno_fernando,2019.0,2023.0,Y,Y,Y,2,34,N,1
54,1626187,Michael Frazier II,1994-03-08,Florida,USA,Florida/USA,2.0,21,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,michael_frazier,2018.0,2019.0,Y,Y,Y,Undrafted,Undrafted,N,0
55,203497,Rudy Gobert,1992-06-26,Cholet,France,Cholet/France,10.0,27,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,rudy_gobert,2013.0,2023.0,Y,Y,Y,1,27,N,1
56,203462,Archie Goodwin,1994-08-17,Kentucky,USA,Kentucky/USA,5.0,10,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,archie_goodwin,2013.0,2016.0,Y,Y,Y,1,29,N,0
57,1628984,Devonte' Graham,1995-02-22,Kansas,USA,Kansas/USA,5.0,4,Active,N,1610612759,Spurs,SAS,spurs,San Antonio,devonte_graham,2018.0,2023.0,Y,Y,Y,2,34,N,1
58,1626203,Treveon Graham,1993-10-28,Virginia Commonwealth,USA,Virginia Commonwealth/USA,5.0,2,Inactive,N,1610612766,Hornets,CHA,hornets,Charlotte,treveon_graham,2016.0,2019.0,Y,Y,Y,Undrafted,Undrafted,N,0
59,203475,Erick Green,1991-05-09,Virginia Tech,USA,Virginia Tech/USA,2.0,0,Inactive,N,0,0,0,0,0,erick_green,2014.0,2015.0,Y,Y,Y,2,46,N,0
60,1629656,Quentin Grimes,2000-05-08,Houston,USA,Houston/USA,2.0,6,Active,N,1610612752,Knicks,NYK,knicks,New York,quentin_grimes,2021.0,2023.0,N,Y,Y,1,25,N,1
61,203798,PJ Hairston,1992-12-24,North Carolina,USA,North Carolina/USA,3.0,19,Inactive,N,1610612766,Hornets,CHA,hornets,Charlotte,pj_hairston,2014.0,2015.0,Y,Y,Y,1,26,N,0
62,203501,Tim Hardaway Jr.,1992-03-16,Michigan,USA,Michigan/USA,10.0,11,Active,N,1610612742,Mavericks,DAL,mavericks,Dallas,tim_hardaway_jr,2013.0,2023.0,Y,Y,Y,1,24,N,1
63,1629607,Jared Harper,1997-09-14,Auburn,USA,Auburn/USA,4.0,2,Inactive,N,1610612740,Pelicans,NOP,pelicans,New Orleans,jared_harper,2019.0,2021.0,Y,Y,Y,Undrafted,Undrafted,N,0
64,203925,Joe Harris,1991-09-06,Virginia,USA,Virginia/USA,9.0,12,Active,N,1610612751,Nets,BKN,nets,Brooklyn,joe_harris,2014.0,2023.0,Y,Y,Y,2,33,N,1
65,1626151,Aaron Harrison,1994-10-28,Kentucky,USA,Kentucky/USA,3.0,9,Inactive,N,1610612766,Hornets,CHA,hornets,Charlotte,aaron_harrison,2015.0,2017.0,Y,Y,Y,Undrafted,Undrafted,N,0
66,1626150,Andrew Harrison,1994-10-28,Kentucky,USA,Kentucky/USA,4.0,0,Inactive,N,0,0,0,0,0,andrew_harrison,2016.0,2018.0,Y,Y,Y,2,44,N,0
67,1628502,Nigel Hayes,1994-12-16,Wisconsin,USA,Wisconsin/USA,1.0,40,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,nigel_hayes,2017.0,2017.0,Y,Y,Y,Undrafted,Undrafted,N,0
68,1629608,Dewan Hernandez,1996-12-09,Miami (FL),USA,Miami/USA,2.0,20,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,dewan_hernandez,2019.0,2019.0,Y,Y,Y,2,59,N,0
69,1628987,Kevin Hervey,1996-07-09,Texas-Arlington,USA,Texas-Arlington/USA,2.0,15,Inactive,N,1610612760,Thunder,OKC,thunder,Oklahoma City,kevin_hervey,2019.0,2019.0,Y,Y,Y,2,57,N,0
70,1628439,Isaiah Hicks,1994-07-24,North Carolina,USA,North Carolina/USA,3.0,4,Inactive,N,1610612752,Knicks,NYK,knicks,New York,isaiah_hicks,2017.0,2018.0,Y,Y,Y,Undrafted,Undrafted,N,0
71,203524,Solomon Hill,1991-03-18,Arizona,USA,Arizona/USA,9.0,0,Inactive,N,0,0,0,0,0,solomon_hill,2013.0,2021.0,Y,Y,Y,1,23,N,0
72,1629658,Jaylen Hoard,1999-03-30,Wake Forest,France,Wake Forest/France,3.0,0,Inactive,N,0,0,0,0,0,jalen_hoard,2019.0,2021.0,Y,Y,Y,Undrafted,Undrafted,N,0
73,1628988,Aaron Holiday,1996-09-30,UCLA,USA,UCLA/USA,5.0,3,Active,N,1610612737,Hawks,ATL,hawks,Atlanta,aaron_holiday,2018.0,2023.0,N,Y,Y,1,23,N,1
74,1626158,Richaun Holmes,1993-10-15,Bowling Green,USA,Bowling Green/USA,8.0,22,Active,N,1610612758,Kings,SAC,kings,Sacramento,richaun_holmes,2015.0,2023.0,Y,Y,Y,2,37,N,1
