,team_id,team_name,team_abbreviation,team_nickname,team_city,team_state,year_founded,arena,arenacapacity,owner,generalmanager,headcoach,dleagueaffiliation
0,1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Atlanta,1949.0,State Farm Arena,18729,Tony Ressler,Travis Schlenk,Quin Snyder,College Park Skyhawks
1,1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946.0,N/A,0,N/A,N/A,N/A,N/A
2,1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970.0,N/A,0,N/A,N/A,N/A,N/A
3,1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002.0,N/A,0,N/A,N/A,N/A,N/A
4,1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1966.0,United Center,21711,Michael Reinsdorf,Arturas Karnisovas,Billy Donovan,Windy City Bulls
5,1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980.0,American Airlines Center,19200,Mark Cuban,Nico Harrison,Jason Kidd,Texas Legends
6,1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976.0,Ball Arena,0,Stan Kroenke,Calvin Booth,Michael Malone,Grand Rapids Gold
7,1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,1946.0,Chase Center,0,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors
8,1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967.0,Toyota Center,18104,Tilman Fertitta,Rafael Stone,Ime Udoka,Rio Grande Valley Vipers
9,1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970.0,Crypto.com Arena,19060,Steve Ballmer,Michael Winger,Tyronn Lue,Agua Caliente Clippers of Ontario
10,1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948.0,Crypto.com Arena,19060,Jeanie Buss,Rob Pelinka,Darvin Ham,South Bay Lakers
11,1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988.0,Kaseya Center,19600,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce
12,1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968.0,Fiserv Forum,17500,Wesley Edens &Â Marc Lasry,Jon Horst,Adrian Griffin,Wisconsin Herd
13,1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989.0,Target Center,19356,Glen Taylor,Tim Connelly,Chris Finch,Iowa Wolves
14,1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976.0,Barclays Center,0,Joe Tsai,Sean Marks,Jacque Vaughn,Long Island Nets
15,1610612752,New York Knicks,NYK,Knicks,New York,New York,1946.0,N/A,0,N/A,N/A,N/A,N/A
16,1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989.0,N/A,0,N/A,N/A,N/A,N/A
17,1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976.0,Gainbridge Fieldhouse ,18345,Herb Simon,Kevin Pritchard,Rick Carlisle,Fort Wayne Mad Ants
18,1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949.0,Wells Fargo Center,0,Joshua Harris & David Blitzer,Elton Brand,Nick Nurse,Delaware Blue Coats
19,1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968.0,Footprint Center,0,Mat Ishbia,James Jones,Frank Vogel,No Affiliate
20,1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970.0,Moda Center,19980,Jody Allen,Joe Cronin,Chauncey Billups,No Affiliate
21,1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948.0,Golden 1 Center,17500,Vivek Ranadive,Monte McNair,Mike Brown,Stockton Kings
22,1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976.0,AT&T Center,18694,Peter Holt,Brian Wright,Gregg Popovich,Austin Spurs
23,1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967.0,Paycom Center,0,Clay Bennett,Sam Presti,Mark Daigneault,Oklahoma City Blue
24,1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995.0,Scotiabank Arena,0,Lawrence Tanenbaum,Masai Ujiri,N/A,Raptors 905
25,1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974.0,Delta Center,0,Ryan Smith,Justin Zanik,Will Hardy,Salt Lake City Stars
26,1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995.0,FedExForum,18119,Robert Pera,Zach Kleiman,Taylor Jenkins,Memphis Hustle
27,1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961.0,Capital One Arena,20647,Ted Leonsis,Tommy Sheppard,Wes Unseld,Capital City Go-Go
28,1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948.0,Little Caesars Arena,0,Tom Gores,Ed Stefanski,Monty Williams,Motor City Cruise
29,1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988.0,Spectrum Center,19026,Michael Jordan,Mitch Kupchak,Steve Clifford,Greensboro Swarm
